DateTime,RecvRate,LostRate,DropRate,AvailBw,RTT,RecvBufs,PdDelay
2023-05-17T14:00:00+0800,36148,0,0,149360,165.007,527,550
2023-05-17T14:00:05+0800,35118,0,0,140536,164.952,529,550
2023-05-17T14:00:10+0800,34430,0,0,149328,164.884,529,550
2023-05-17T14:00:15+0800,34509,0,0,161208,164.836,527,550
2023-05-17T14:00:20+0800,34421,0,0,114327,164.925,526,550
2023-05-17T14:00:25+0800,34152,0,0,146662,165.174,524,550
2023-05-17T14:00:30+0800,34204,0,0,130364,165.077,523,550
2023-05-17T14:00:35+0800,32474,0,0,143485,164.848,523,550
2023-05-17T14:00:40+0800,11827,0,0,76519,165.027,525,550
2023-05-17T14:00:45+0800,23855,0,0,94797,164.948,525,550
2023-05-17T14:00:50+0800,34500,0,0,132627,164.860,525,550
2023-05-17T14:00:55+0800,34042,0,0,154071,164.968,526,550
2023-05-17T14:01:00+0800,35166,0,0,155040,165.010,529,550
2023-05-17T14:01:05+0800,34357,0,0,110529,164.926,530,550
2023-05-17T14:01:10+0800,35246,0,0,147957,164.784,530,550
2023-05-17T14:01:15+0800,32381,0,0,177790,164.755,531,550
2023-05-17T14:01:20+0800,36658,0,0,112172,164.667,533,550
2023-05-17T14:01:25+0800,34075,0,0,129885,164.499,533,550
2023-05-17T14:01:30+0800,33420,0,0,123640,164.530,534,550
2023-05-17T14:01:35+0800,36246,0,0,101031,164.532,534,550
2023-05-17T14:01:40+0800,34326,0,0,100531,164.631,534,550
2023-05-17T14:01:45+0800,31887,0,0,125533,164.539,534,550
2023-05-17T14:01:50+0800,36548,0,0,150579,164.560,536,550
2023-05-17T14:01:55+0800,34765,0,0,124314,164.644,535,550
2023-05-17T14:02:00+0800,33994,0,0,135869,164.710,535,550
2023-05-17T14:02:05+0800,33954,0,0,80435,164.946,535,550
2023-05-17T14:02:10+0800,35076,0,0,132779,164.957,537,550
2023-05-17T14:02:15+0800,35218,0,0,126458,164.859,536,550
2023-05-17T14:02:20+0800,34594,0,0,187342,164.921,536,550
2023-05-17T14:02:25+0800,34314,0,0,188387,164.996,537,550
2023-05-17T14:02:30+0800,34644,0,0,225890,164.817,536,550
2023-05-17T14:02:35+0800,34230,0,0,133192,164.767,536,550
2023-05-17T14:02:40+0800,33713,0,0,122911,164.759,537,550
2023-05-17T14:02:45+0800,24037,0,0,72536,164.932,536,550
2023-05-17T14:02:50+0800,9426,0,0,162536,164.739,513,550
2023-05-17T14:02:55+0800,35830,0,0,180575,164.930,516,550
2023-05-17T14:03:00+0800,34229,0,0,149208,164.906,520,550
2023-05-17T14:03:05+0800,33288,0,0,158641,165.019,521,550
2023-05-17T14:03:10+0800,36476,0,0,129526,165.099,522,550
2023-05-17T14:03:15+0800,34222,0,0,146531,165.260,524,550
2023-05-17T14:03:20+0800,33427,0,0,129928,165.202,525,550
2023-05-17T14:03:25+0800,35951,0,0,184111,165.132,526,550
2023-05-17T14:03:30+0800,34465,0,0,151514,165.038,527,550
2023-05-17T14:03:35+0800,31952,0,0,171088,165.031,530,550
2023-05-17T14:03:40+0800,36924,0,0,145182,165.116,531,550
2023-05-17T14:03:45+0800,34893,0,0,133867,165.435,533,550
2023-05-17T14:03:50+0800,32938,0,0,157324,165.245,531,550
2023-05-17T14:03:55+0800,34677,0,0,155616,165.176,531,550
2023-05-17T14:04:00+0800,35059,0,0,179900,165.111,531,550
2023-05-17T14:04:05+0800,34592,0,0,177975,164.988,533,550
2023-05-17T14:04:10+0800,32086,0,0,132627,164.754,533,550
2023-05-17T14:04:15+0800,36831,0,0,154496,164.699,533,550
2023-05-17T14:04:20+0800,34720,0,0,129754,164.782,535,550
2023-05-17T14:04:25+0800,34571,0,0,136663,164.661,535,550
2023-05-17T14:04:30+0800,34410,0,0,126577,164.671,535,550
2023-05-17T14:04:35+0800,34534,0,0,184535,164.765,536,550
2023-05-17T14:04:40+0800,34460,0,0,156225,164.813,537,550
2023-05-17T14:04:45+0800,34658,0,0,134389,164.894,537,550
2023-05-17T14:04:50+0800,32642,0,0,101934,164.763,536,550
2023-05-17T14:04:55+0800,6318,0,0,73352,164.834,537,550
2023-05-17T14:05:00+0800,28343,0,0,116949,164.733,538,550
2023-05-17T14:05:05+0800,35087,0,0,170663,164.696,537,550
2023-05-17T14:05:10+0800,33849,0,0,139655,164.735,538,550
2023-05-17T14:05:15+0800,35927,0,0,177648,164.923,538,550
2023-05-17T14:05:20+0800,33570,0,0,142081,165.023,537,550
2023-05-17T14:05:25+0800,35220,0,0,180053,165.335,537,550
2023-05-17T14:05:30+0800,32129,0,0,94797,165.211,537,550
2023-05-17T14:05:35+0800,36590,0,0,163994,165.264,537,550
2023-05-17T14:05:40+0800,33711,0,0,104643,165.117,538,550
2023-05-17T14:05:45+0800,34777,0,0,171860,165.082,539,550
2023-05-17T14:05:50+0800,35885,0,0,145498,165.114,538,550
2023-05-17T14:05:55+0800,33888,0,0,194360,165.073,537,550
2023-05-17T14:06:00+0800,31405,0,0,144606,165.076,538,550
2023-05-17T14:06:05+0800,37538,0,0,146107,165.039,539,550
2023-05-17T14:06:10+0800,34671,0,0,139753,164.949,539,550
2023-05-17T14:06:15+0800,33238,0,0,197624,164.970,538,550
2023-05-17T14:06:20+0800,34852,0,0,181793,164.860,539,550
2023-05-17T14:06:25+0800,35186,0,0,189790,164.802,538,550
2023-05-17T14:06:30+0800,34761,0,0,137653,164.716,538,550
2023-05-17T14:06:35+0800,34500,0,0,127230,164.741,538,550
2023-05-17T14:06:40+0800,34490,0,0,129559,164.642,538,550
2023-05-17T14:06:45+0800,34513,0,0,126295,164.622,538,550
2023-05-17T14:06:50+0800,34223,0,0,175287,164.694,539,550
2023-05-17T14:06:55+0800,32996,0,0,125925,164.784,538,550
2023-05-17T14:07:00+0800,19955,0,0,61330,164.975,537,550
2023-05-17T14:07:05+0800,15217,0,0,194164,165.093,526,550
2023-05-17T14:07:10+0800,34742,0,0,187712,164.904,527,550
